,method,dr,runtime,n1,n2,k,distribution
0,kmeans,False,3.656985282897949,100,100,100,multipeak
1,kmeans,True,3.1050243377685547,100,100,100,multipeak
2,affinity,False,0.11950469017028809,100,100,100,multipeak
3,affinity,True,0.12653684616088867,100,100,100,multipeak
4,hierarchical,False,0.07152867317199707,100,100,100,multipeak
5,hierarchical,True,0.06653571128845215,100,100,100,multipeak
6,spectral,False,0.0955955982208252,100,100,100,multipeak
7,spectral,True,0.09001708030700684,100,100,100,multipeak
8,random,False,0.039537906646728516,100,100,100,multipeak
9,random,True,0.040987253189086914,100,100,100,multipeak
10,kmeans,False,3.668102741241455,100,100,200,multipeak
11,kmeans,True,3.3750216960906982,100,100,200,multipeak
12,affinity,False,0.43624401092529297,100,100,200,multipeak
13,affinity,True,0.34050726890563965,100,100,200,multipeak
14,hierarchical,False,0.25159406661987305,100,100,200,multipeak
15,hierarchical,True,0.2196967601776123,100,100,200,multipeak
16,spectral,False,0.2929692268371582,100,100,200,multipeak
17,spectral,True,0.28458261489868164,100,100,200,multipeak
18,random,False,0.1759634017944336,100,100,200,multipeak
19,random,True,0.2290661334991455,100,100,200,multipeak
20,kmeans,False,3.8336660861968994,100,100,300,multipeak
21,kmeans,True,2.8984222412109375,100,100,300,multipeak
22,affinity,False,0.9446837902069092,100,100,300,multipeak
23,affinity,True,0.6839637756347656,100,100,300,multipeak
24,hierarchical,False,0.46266889572143555,100,100,300,multipeak
25,hierarchical,True,0.40770888328552246,100,100,300,multipeak
26,spectral,False,0.530022382736206,100,100,300,multipeak
27,spectral,True,0.497877836227417,100,100,300,multipeak
28,random,False,0.3279683589935303,100,100,300,multipeak
29,random,True,0.352236270904541,100,100,300,multipeak
30,kmeans,False,4.125906705856323,100,100,400,multipeak
31,kmeans,True,3.2710018157958984,100,100,400,multipeak
32,affinity,False,1.1343977451324463,100,100,400,multipeak
33,affinity,True,1.0880134105682373,100,100,400,multipeak
34,hierarchical,False,0.8261075019836426,100,100,400,multipeak
35,hierarchical,True,0.6866738796234131,100,100,400,multipeak
36,spectral,False,0.9176216125488281,100,100,400,multipeak
37,spectral,True,0.9402856826782227,100,100,400,multipeak
38,random,False,0.5877373218536377,100,100,400,multipeak
39,random,True,0.5847873687744141,100,100,400,multipeak
40,kmeans,False,2.8824057579040527,100,150,100,multipeak
41,kmeans,True,2.926734209060669,100,150,100,multipeak
42,affinity,False,0.20609521865844727,100,150,100,multipeak
43,affinity,True,0.25727033615112305,100,150,100,multipeak
44,hierarchical,False,0.15667057037353516,100,150,100,multipeak
45,hierarchical,True,0.16436123847961426,100,150,100,multipeak
46,spectral,False,0.1655282974243164,100,150,100,multipeak
47,spectral,True,0.21681547164916992,100,150,100,multipeak
48,random,False,0.1295769214630127,100,150,100,multipeak
49,random,True,0.126023530960083,100,150,100,multipeak
50,kmeans,False,4.478712797164917,100,150,200,multipeak
51,kmeans,True,3.663012981414795,100,150,200,multipeak
52,affinity,False,0.558192253112793,100,150,200,multipeak
53,affinity,True,0.4724116325378418,100,150,200,multipeak
54,hierarchical,False,0.3296380043029785,100,150,200,multipeak
55,hierarchical,True,0.31633901596069336,100,150,200,multipeak
56,spectral,False,0.3865649700164795,100,150,200,multipeak
57,spectral,True,0.3754408359527588,100,150,200,multipeak
58,random,False,0.37499308586120605,100,150,200,multipeak
59,random,True,0.27966833114624023,100,150,200,multipeak
60,kmeans,False,5.130031108856201,100,150,300,multipeak
61,kmeans,True,3.4926235675811768,100,150,300,multipeak
62,affinity,False,1.6058106422424316,100,150,300,multipeak
63,affinity,True,0.8042833805084229,100,150,300,multipeak
64,hierarchical,False,0.7179386615753174,100,150,300,multipeak
65,hierarchical,True,0.7734100818634033,100,150,300,multipeak
66,spectral,False,0.9944367408752441,100,150,300,multipeak
67,spectral,True,0.88238525390625,100,150,300,multipeak
68,random,False,0.6850714683532715,100,150,300,multipeak
69,random,True,0.7568149566650391,100,150,300,multipeak
70,kmeans,False,5.47301983833313,100,150,400,multipeak
71,kmeans,True,4.018406629562378,100,150,400,multipeak
72,affinity,False,1.8603148460388184,100,150,400,multipeak
73,affinity,True,1.701300859451294,100,150,400,multipeak
74,hierarchical,False,1.2558410167694092,100,150,400,multipeak
75,hierarchical,True,1.2219340801239014,100,150,400,multipeak
76,spectral,False,1.8093605041503906,100,150,400,multipeak
77,spectral,True,1.09912109375,100,150,400,multipeak
78,random,False,0.7963871955871582,100,150,400,multipeak
79,random,True,0.9138917922973633,100,150,400,multipeak
80,kmeans,False,3.278817892074585,100,200,100,multipeak
81,kmeans,True,3.2916934490203857,100,200,100,multipeak
82,affinity,False,0.2908928394317627,100,200,100,multipeak
83,affinity,True,0.20719337463378906,100,200,100,multipeak
84,hierarchical,False,0.12176513671875,100,200,100,multipeak
85,hierarchical,True,0.11655330657958984,100,200,100,multipeak
86,spectral,False,0.14354705810546875,100,200,100,multipeak
87,spectral,True,0.14004206657409668,100,200,100,multipeak
88,random,False,0.09351634979248047,100,200,100,multipeak
89,random,True,0.09953975677490234,100,200,100,multipeak
90,kmeans,False,3.319568157196045,100,200,200,multipeak
91,kmeans,True,3.50101637840271,100,200,200,multipeak
92,affinity,False,0.7667906284332275,100,200,200,multipeak
93,affinity,True,0.6440536975860596,100,200,200,multipeak
94,hierarchical,False,0.4526970386505127,100,200,200,multipeak
95,hierarchical,True,0.40605998039245605,100,200,200,multipeak
96,spectral,False,0.415447473526001,100,200,200,multipeak
97,spectral,True,0.41211509704589844,100,200,200,multipeak
98,random,False,0.3033733367919922,100,200,200,multipeak
99,random,True,0.3286008834838867,100,200,200,multipeak
100,kmeans,False,3.7375733852386475,100,200,300,multipeak
101,kmeans,True,3.829798936843872,100,200,300,multipeak
102,affinity,False,1.7467727661132812,100,200,300,multipeak
103,affinity,True,1.2114474773406982,100,200,300,multipeak
104,hierarchical,False,0.8328125476837158,100,200,300,multipeak
105,hierarchical,True,0.733738899230957,100,200,300,multipeak
106,spectral,False,0.8493869304656982,100,200,300,multipeak
107,spectral,True,0.8353002071380615,100,200,300,multipeak
108,random,False,0.6757557392120361,100,200,300,multipeak
109,random,True,0.8137872219085693,100,200,300,multipeak
110,kmeans,False,5.399027585983276,100,200,400,multipeak
111,kmeans,True,4.055138111114502,100,200,400,multipeak
112,affinity,False,2.925915479660034,100,200,400,multipeak
113,affinity,True,2.094083786010742,100,200,400,multipeak
114,hierarchical,False,1.7239768505096436,100,200,400,multipeak
115,hierarchical,True,1.3690414428710938,100,200,400,multipeak
116,spectral,False,1.5252947807312012,100,200,400,multipeak
117,spectral,True,1.5061116218566895,100,200,400,multipeak
118,random,False,1.2855846881866455,100,200,400,multipeak
119,random,True,1.4854412078857422,100,200,400,multipeak
120,kmeans,False,2.925790786743164,100,50,100,multipeak
121,kmeans,True,2.6448590755462646,100,50,100,multipeak
122,affinity,False,0.053503990173339844,100,50,100,multipeak
123,affinity,True,0.04999971389770508,100,50,100,multipeak
124,hierarchical,False,0.032002925872802734,100,50,100,multipeak
125,hierarchical,True,0.032506704330444336,100,50,100,multipeak
126,spectral,False,0.058001041412353516,100,50,100,multipeak
127,spectral,True,0.05962872505187988,100,50,100,multipeak
128,random,False,0.016991853713989258,100,50,100,multipeak
129,random,True,0.01800060272216797,100,50,100,multipeak
130,kmeans,False,2.9347383975982666,100,50,200,multipeak
131,kmeans,True,3.675891399383545,100,50,200,multipeak
132,affinity,False,0.18806743621826172,100,50,200,multipeak
133,affinity,True,0.1375102996826172,100,50,200,multipeak
134,hierarchical,False,0.11153960227966309,100,50,200,multipeak
135,hierarchical,True,0.10453343391418457,100,50,200,multipeak
136,spectral,False,0.1541152000427246,100,50,200,multipeak
137,spectral,True,0.15453076362609863,100,50,200,multipeak
138,random,False,0.07051610946655273,100,50,200,multipeak
139,random,True,0.07454037666320801,100,50,200,multipeak
140,kmeans,False,3.2467973232269287,100,50,300,multipeak
141,kmeans,True,2.6535041332244873,100,50,300,multipeak
142,affinity,False,0.33256101608276367,100,50,300,multipeak
143,affinity,True,0.2665677070617676,100,50,300,multipeak
144,hierarchical,False,0.1930398941040039,100,50,300,multipeak
145,hierarchical,True,0.18308639526367188,100,50,300,multipeak
146,spectral,False,0.2640805244445801,100,50,300,multipeak
147,spectral,True,0.31730151176452637,100,50,300,multipeak
148,random,False,0.14563369750976562,100,50,300,multipeak
149,random,True,0.1530742645263672,100,50,300,multipeak
150,kmeans,False,3.812027931213379,100,50,400,multipeak
151,kmeans,True,3.2610137462615967,100,50,400,multipeak
152,affinity,False,0.5547873973846436,100,50,400,multipeak
